Date,Open,High,Low,Close,Adj Close,Volume
2022-04-12 08:45:00:00:00,40262.14063,40266.20313,40238.17969,40248.39453,40248.39453,28209152
2022-04-12 09:00:00:00:00,40228.42188,40228.42188,40119.23438,40119.23438,40119.23438,75198464
2022-04-12 09:15:00:00:00,40124.01563,40144.05859,40110.03516,40144.05859,40144.05859,31961088
2022-04-12 09:30:00:00:00,40148.87891,40207.32031,40148.87891,40198.22266,40198.22266,23560192
2022-04-12 09:45:00:00:00,40198.64453,40243.13281,40185.67188,40243.13281,40243.13281,81854464
2022-04-12 10:00:00:00:00,40243.20703,40251.95703,40195.06641,40195.73047,40195.73047,0
2022-04-12 10:15:00:00:00,40199.63672,40199.63672,40135.32031,40135.32031,40135.32031,0
2022-04-12 10:30:00:00:00,40143.49219,40237.38672,40143.49219,40218.37109,40218.37109,0
2022-04-12 10:45:00:00:00,40218.96094,40245.02734,40191.41797,40191.41797,40191.41797,8802304
2022-04-12 11:00:00:00:00,40182.21484,40182.21484,40151.52344,40159.05859,40159.05859,0
2022-04-12 11:15:00:00:00,40165.95703,40237.95703,40165.95703,40237.95703,40237.95703,21110784
2022-04-12 11:30:00:00:00,40294.72266,40359.48828,40294.72266,40343.65234,40343.65234,65716224
2022-04-12 11:45:00:00:00,40340.48047,40386.91406,40340.35156,40386.91406,40386.91406,45875200
2022-04-12 12:00:00:00:00,40380.39844,40417.22266,40371.26172,40371.26172,40371.26172,0
2022-04-12 12:15:00:00:00,40339.57422,40339.57422,40277.94531,40288.99219,40288.99219,0
2022-04-12 12:30:00:00:00,40415.25781,40548.22656,40415.25781,40523.08984,40523.08984,1463160832
2022-04-12 12:45:00:00:00,40520.11719,40612.13281,40520.11719,40612.13281,40612.13281,476319744
2022-04-12 13:00:00:00:00,40612.96875,40617.58594,40508.29297,40510.29297,40510.29297,89354240
2022-04-12 13:15:00:00:00,40511.01953,40561.58594,40496.67188,40521.44141,40521.44141,251117568
2022-04-12 13:30:00:00:00,40532.21484,40539.44531,40296.53516,40304.38281,40304.38281,951435264
2022-04-12 13:45:00:00:00,40306.67578,40475.85938,40306.67578,40454.30078,40454.30078,212979712
2022-04-12 14:00:00:00:00,40431.19531,40431.19531,40285.93359,40285.93359,40285.93359,106455040
2022-04-12 14:15:00:00:00,40273.57813,40273.57813,39987.27734,39987.27734,39987.27734,29597696
2022-04-12 14:30:00:00:00,39928.58594,40043.72266,39928.58594,39999.94531,39999.94531,364630016
2022-04-12 14:45:00:00:00,39999,40031.55078,39977.93359,40005.84375,40005.84375,30490624
2022-04-12 15:00:00:00:00,40033.81641,40069.78125,40018.32813,40067.05859,40067.05859,149630976
2022-04-12 15:15:00:00:00,40087.875,40280.34375,40087.875,40280.34375,40280.34375,306515968
2022-04-12 15:30:00:00:00,40316.08203,40343.29297,40255.39844,40343.29297,40343.29297,211447808
2022-04-12 15:45:00:00:00,40342.09375,40354.54297,40310.71875,40328.46484,40328.46484,92864512
2022-04-12 16:00:00:00:00,40291.32031,40291.32031,40157.83203,40170.61328,40170.61328,0
2022-04-12 16:15:00:00:00,40213.30078,40332.10547,40115.81641,40115.81641,40115.81641,55613440
2022-04-12 16:30:00:00:00,40083.95703,40108.07422,40029.27734,40029.27734,40029.27734,0
2022-04-12 16:45:00:00:00,40031.4375,40108.78125,40028.66406,40108.78125,40108.78125,0
2022-04-12 17:00:00:00:00,40118.00781,40149.25,40067.91016,40149.25,40149.25,87033856
2022-04-12 17:15:00:00:00,40160.38281,40205.83984,40160.38281,40161.80469,40161.80469,0
2022-04-12 17:30:00:00:00,40164.17969,40183.82813,40074.625,40074.625,40074.625,7045120
2022-04-12 17:45:00:00:00,40074.14844,40074.14844,40028.99219,40053.39844,40053.39844,60805120
2022-04-12 18:00:00:00:00,40041.78516,40054.5,40002.3125,40002.3125,40002.3125,30554112
2022-04-12 18:15:00:00:00,39961.05859,39961.05859,39804.57031,39838.25,39838.25,62167040
2022-04-12 18:30:00:00:00,39841.55469,39841.55469,39728.43359,39753.40234,39753.40234,78493696
2022-04-12 18:45:00:00:00,39745.22656,39778.57422,39739.13281,39751.03906,39751.03906,131549184
2022-04-12 19:00:00:00:00,39730.82422,39730.82422,39578.54297,39578.54297,39578.54297,126404608
2022-04-12 19:15:00:00:00,39561.23828,39561.23828,39496.17578,39496.17578,39496.17578,129888256
2022-04-12 19:30:00:00:00,39481.83984,39622.19141,39471.66797,39606.17578,39606.17578,0
2022-04-12 19:45:00:00:00,39609.65234,39613.48828,39461.26563,39461.26563,39461.26563,2889728
2022-04-12 20:00:00:00:00,39448.25781,39470.87891,39389.66406,39446.45703,39446.45703,0
2022-04-12 20:15:00:00:00,39451.73047,39555.86328,39451.73047,39555.86328,39555.86328,0
2022-04-12 20:30:00:00:00,39553.38672,39586.32422,39420.07031,39420.07031,39420.07031,802691072
2022-04-12 20:45:00:00:00,39461.125,39561.83594,39457.58594,39561.83594,39561.83594,0
2022-04-12 21:00:00:00:00,39558.05859,39625.83594,39555.50781,39625.83594,39625.83594,19853312
2022-04-12 21:15:00:00:00,39632.41016,39720.57813,39632.41016,39650.39844,39650.39844,49027072
2022-04-12 21:30:00:00:00,39711.24219,39711.24219,39675.35156,39701.33203,39701.33203,15054848
2022-04-12 21:45:00:00:00,39710.98047,39760.73828,39710.98047,39727.83984,39727.83984,0
2022-04-12 22:00:00:00:00,39724.78516,39724.78516,39667.23828,39701.96484,39701.96484,0
2022-04-12 22:15:00:00:00,39703.86328,39722.61328,39656.14063,39656.14063,39656.14063,0
2022-04-12 22:30:00:00:00,39644.14844,39769.53125,39637.60938,39745.64844,39745.64844,73070592
2022-04-12 22:45:00:00:00,39707.01172,39828.75,39644.40234,39828.75,39828.75,71348224
2022-04-12 23:00:00:00:00,39842.21094,39935.19531,39842.21094,39911.57813,39911.57813,54263808
2022-04-12 23:15:00:00:00,39910.62109,40155.43359,39907.79688,40144.07813,40144.07813,209426432
2022-04-12 23:30:00:00:00,40128.52344,40179.98438,40032.52734,40048.51172,40048.51172,112556032
2022-04-12 23:45:00:00:00,40090.79688,40169.44531,40082.66406,40136.17578,40136.17578,15691776
2022-04-13 00:00:00:00:00,40114.71875,40175.14063,40084.62109,40175.14063,40175.14063,48531456
2022-04-13 00:15:00:00:00,40176.29688,40176.29688,40147.32813,40149.63281,40149.63281,0
2022-04-13 00:30:00:00:00,40142.34375,40142.34375,40077.62891,40091.53906,40091.53906,0
2022-04-13 00:45:00:00:00,40091.77344,40091.77344,39990.29297,39991.96875,39991.96875,0
2022-04-13 01:00:00:00:00,39979.21094,39979.21094,39819.5,39819.5,39819.5,0
2022-04-13 01:15:00:00:00,39821.59766,39823.14453,39729.07031,39729.07031,39729.07031,33837056
2022-04-13 01:30:00:00:00,39715.65625,39836.25781,39712.74609,39836.25781,39836.25781,73723904
2022-04-13 01:45:00:00:00,39839.65625,39886.92969,39824.55859,39880.33203,39880.33203,0
2022-04-13 02:00:00:00:00,39900.71875,39923.78125,39886.09375,39901.58594,39901.58594,12351488
2022-04-13 02:15:00:00:00,39862.51953,39862.51953,39790.13281,39790.13281,39790.13281,0
2022-04-13 02:30:00:00:00,39792.07422,40116.25781,39792.07422,40082.73828,40082.73828,279293952
2022-04-13 02:45:00:00:00,40074.76953,40093.71875,40041.34375,40076.01953,40076.01953,18071552
